fpl_id,opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,3,Arsenal,ARS,5,1305,1355,1340,1390,1270,1320
2,7,Aston Villa,AVL,3,1135,1230,1120,1210,1150,1250
3,90,Burnley,BUR,2,975,1045,910,1050,1040,1040
4,91,Bournemouth,BOU,3,1150,1235,1060,1230,1240,1240
5,94,Brentford,BRE,3,1135,1215,1120,1160,1150,1270
6,36,Brighton,BHA,4,1170,1250,1140,1220,1200,1280
7,8,Chelsea,CHE,3,1190,1195,1130,1140,1250,1250
8,31,Crystal Palace,CRY,3,1160,1185,1150,1200,1170,1170
9,11,Everton,EVE,3,1135,1160,1130,1150,1140,1170
10,54,Fulham,FUL,3,1105,1200,1090,1170,1120,1230
11,2,Leeds,LEE,3,1100,1205,1050,1160,1150,1250
12,14,Liverpool,LIV,4,1180,1250,1120,1200,1240,1300
13,43,Man City,MCI,4,1265,1355,1220,1310,1310,1400
14,1,Man Utd,MUN,4,1180,1250,1120,1190,1240,1310
15,4,Newcastle,NEW,3,1120,1205,1130,1120,1110,1290
16,17,Nott'm Forest,NFO,3,1125,1165,1130,1160,1120,1170
17,56,Sunderland,SUN,3,1055,1150,1070,1170,1040,1130
18,6,Spurs,TOT,3,1120,1120,1090,1090,1150,1150
19,21,West Ham,WHU,3,1095,1130,1060,1080,1130,1180
20,39,Wolves,WOL,2,975,1060,950,1050,1000,1070
